Curve,Target BER,Eb/N0 (dB)
SISO AWGN (FULL),0.001,15.067982314567539
SISO AWGN (FULL),0.0001,16.758323375345803
SISO AWGN (FAST),0.001,14.939531679032207
SISO AWGN (FAST),0.0001,16.577499059039233
SISO OFDM (FULL),0.001,16.275230096693306
SISO OFDM (FULL),0.0001,17.399460935403553
SISO OFDM (FAST),0.001,16.362688586814976
SISO OFDM (FAST),0.0001,17.725388477405676
2x2 MIMO-OFDM ZF,0.001,
2x2 MIMO-OFDM ZF,0.0001,
2x2 MIMO-OFDM ZF (FAST),0.001,
2x2 MIMO-OFDM ZF (FAST),0.0001,
2x2 MIMO-OFDM LMMSE,0.001,
2x2 MIMO-OFDM LMMSE,0.0001,
2x2 MIMO-OFDM LMMSE (FAST),0.001,
2x2 MIMO-OFDM LMMSE (FAST),0.0001,
